[2026-03-20 18:32:53,255: INFO: main: Welcome to logging info]
[2026-03-20 20:08:51,241: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-03-20 20:08:51,244: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-20 20:08:51,246: INFO: common: created directory at: artifacts]
[2026-03-20 20:08:51,246: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-20 20:08:51,247: INFO: 967806046: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-20 20:08:54,846: INFO: 967806046: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-20 20:16:55,344: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-03-20 20:16:55,346: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-20 20:16:55,348: INFO: common: created directory at: artifacts]
[2026-03-20 20:16:55,349: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-03-20 20:16:57,848: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-03-20 20:16:58,176: WARNING: optimizer: At this time, the v2.11+ optimizer `tf.keras.optimizers.SGD` runs slowly on M1/M2 Macs, please use the legacy Keras optimizer instead, located at `tf.keras.optimizers.legacy.SGD`.]
[2026-03-20 20:16:58,179: WARNING: __init__: There is a known slowdown when using v2.11+ Keras optimizers on M1/M2 Macs. Falling back to the legacy Keras optimizer, i.e., `tf.keras.optimizers.legacy.SGD`.]
[2026-03-20 20:21:50,220: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-03-20 20:21:50,223: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-20 20:21:50,224: INFO: common: created directory at: artifacts]
[2026-03-20 20:21:50,225: INFO: common: created directory at: artifacts/prepare_callbacks/checkpoint_dir]
[2026-03-20 20:21:50,226: INFO: common: created directory at: artifacts/prepare_callbacks/tensorboard_log_dir]
[2026-03-20 20:26:06,977: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-03-20 20:26:06,980: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-20 20:26:06,981: INFO: common: created directory at: artifacts]
[2026-03-20 20:26:06,981: INFO: common: created directory at: artifacts/prepare_callbacks/checkpoint_dir]
[2026-03-20 20:26:06,982: INFO: common: created directory at: artifacts/prepare_callbacks/tensorboard_log_dir]
[2026-03-20 20:26:06,988: INFO: common: created directory at: artifacts/training]
[2026-03-20 20:37:02,620: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-03-20 20:37:02,622: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-20 20:37:02,622: INFO: common: created directory at: artifacts]
[2026-03-20 20:37:02,623: INFO: common: created directory at: artifacts/prepare_callbacks/checkpoint_dir]
[2026-03-20 20:37:02,623: INFO: common: created directory at: artifacts/prepare_callbacks/tensorboard_log_dir]
[2026-03-20 20:37:02,624: INFO: common: created directory at: artifacts/training]
